PERIODO;XNT01;XNT02;XNT03;XNT04;XNT05;XNT06;XNT07;XNT08;XNT09;XNT10;XNT11;XNT12;XNT13;XNT14;XNT15;XNT16;XNT17;XNT18;XNT19;XNT20;XNT21;XNT
Feb18;127.53;80.80;46.73;34.93;0.02;5.07;24.07;5.77;2,281.47;1,093.92;24.33;52.21;637.86;8.71;167.73;252.61;43.92;0.17;226.55;194.61;31.94;2,670.48
Mar18;168.53;145.01;23.51;15.39;0.07;0.03;10.20;5.09;2,626.26;1,363.75;28.37;49.57;711.67;10.50;126.73;273.42;60.26;2.00;343.29;255.27;88.03;3,153.47
Abr18;70.91;35.45;35.47;15.89;0.18;0.01;7.46;8.25;2,380.57;1,251.00;35.37;27.91;635.53;10.54;137.36;236.43;46.20;0.22;294.27;194.00;100.27;2,761.64
May18;274.61;264.34;10.27;23.75;0.57;0.04;16.95;6.20;2,509.20;1,284.40;29.10;45.93;723.23;12.40;126.93;245.79;41.22;0.20;310.89;225.92;84.97;3,118.45
Jun18;365.57;332.61;32.96;42.83;0.34;0.02;36.49;5.98;2,656.62;1,416.98;31.28;31.03;716.42;12.52;116.02;266.63;63.69;2.07;369.97;280.08;89.88;3,434.99
Jul18;321.83;259.06;62.77;60.66;0.42;0.02;56.59;3.62;2,283.04;1,185.52;19.36;39.97;680.44;8.95;95.46;202.06;50.99;0.28;349.71;245.05;104.67;3,015.24
Ago18;261.36;219.85;41.51;97.07;0.03;0.02;92.06;4.97;2,220.56;1,185.27;32.93;28.49;661.82;13.32;99.27;171.33;27.92;0.19;308.53;265.37;43.16;2,887.52
Sep18;164.73;100.03;64.70;105.18;0.10;0.08;99.01;5.99;2,183.01;1,089.63;26.52;39.81;623.77;7.88;147.45;186.05;61.89;0.02;369.98;278.36;91.62;2,822.91
Oct18;50.42;28.96;21.47;128.86;0.02;0.08;123.49;5.28;2,234.50;1,071.18;27.24;35.30;728.99;9.51;96.88;186.98;75.17;3.24;361.24;268.70;92.55;2,775.03
Nov18;29.90;13.28;16.62;101.98;0.03;2.78;95.94;3.23;2,552.44;1,368.21;18.80;29.89;687.98;8.23;183.55;194.09;61.49;0.20;319.92;215.14;104.78;3,004.24
Dic18;91.44;79.93;11.51;88.19;0.02;5.78;78.50;3.90;2,509.17;1,402.91;45.34;56.55;681.60;9.32;119.16;146.86;47.24;0.20;357.69;249.52;108.17;3,046.50
Ene19;159.47;139.62;19.85;52.48;0.01;0.03;42.16;10.28;2,214.19;1,087.00;21.93;67.51;726.79;4.23;107.43;131.13;68.04;0.13;283.64;183.52;100.12;2,709.79
Feb19;253.48;196.12;57.36;23.09;0.00;0.06;18.72;4.30;2,002.32;975.40;37.10;60.56;606.49;6.61;125.97;161.12;28.74;0.33;285.06;223.98;61.09;2,563.95
Mar19;253.65;205.13;48.52;17.15;0.14;3.04;7.90;6.06;2,155.00;1,000.32;38.21;68.90;640.83;2.76;110.39;240.44;52.93;0.23;270.69;217.22;53.47;2,696.48
Abr19;162.77;139.58;23.19;24.54;0.38;7.14;8.25;8.77;2,344.33;1,310.28;34.31;66.72;607.65;5.21;134.61;152.71;32.83;0.00;231.58;187.82;43.76;2,763.23
May19;70.17;41.51;28.65;22.27;0.29;1.31;13.29;7.38;2,336.26;1,095.43;29.43;66.43;752.95;7.36;97.72;229.43;57.31;0.22;215.77;176.21;39.56;2,644.47
Jun19;217.75;185.22;32.53;34.47;0.22;1.06;27.98;5.21;2,490.55;1,197.08;41.31;75.87;750.50;5.21;151.17;193.76;75.49;0.16;212.22;192.28;19.94;2,954.99
Jul19;240.09;184.70;55.39;88.39;0.04;3.92;64.45;19.99;2,414.66;1,143.72;30.01;107.28;771.32;5.21;142.99;165.90;47.95;0.28;240.10;198.42;41.67;2,983.24
Ago19;98.01;54.94;43.07;90.15;0.13;4.70;82.53;2.78;2,411.38;1,047.57;27.78;118.88;862.57;15.22;108.33;172.85;57.92;0.26;244.33;195.11;49.22;2,843.87
Sep19;130.44;98.95;31.49;120.42;0.15;3.90;106.44;9.94;2,358.62;1,113.18;28.74;73.49;812.23;6.95;118.01;161.72;44.20;0.11;224.66;183.15;41.51;2,834.15
Oct19;157.90;114.47;43.44;100.41;0.08;3.59;93.57;3.18;2,482.06;1,160.40;20.12;84.85;784.32;6.69;166.16;195.44;63.96;0.13;212.28;164.72;47.56;2,952.66
Nov19;98.71;79.45;19.26;105.32;0.10;4.07;86.98;14.17;2,347.88;1,151.00;29.67;89.23;754.33;8.86;128.75;122.59;63.27;0.17;254.09;200.75;53.34;2,806.00
Dic19;86.36;69.18;17.18;95.59;0.04;7.80;84.92;2.82;3,022.08;1,719.55;43.70;98.34;728.29;6.39;175.45;186.93;63.28;0.15;300.64;228.81;71.83;3,504.68
Ene20;114.94;106.83;8.12;35.91;0.00;4.32;29.12;2.46;2,315.37;1,006.53;33.32;90.95;866.96;6.37;120.21;165.37;25.49;0.17;226.07;184.37;41.70;2,692.29
Feb20;102.56;68.80;33.76;20.10;0.08;2.40;14.68;2.95;2,257.63;1,024.99;34.58;110.10;754.71;5.55;143.39;141.93;42.23;0.15;166.33;132.28;34.05;2,546.61
Mar20;87.80;57.17;30.63;9.55;0.10;2.21;5.55;1.69;1,801.01;820.83;32.75;81.65;513.29;4.73;122.75;183.03;41.87;0.11;145.12;108.07;37.05;2,043.48
Abr20;43.20;25.66;17.54;10.60;0.04;1.92;8.05;0.59;1,169.94;563.49;1.61;34.14;369.03;4.53;87.74;96.27;13.14;0.00;72.31;51.11;21.20;1,296.05
May20;48.26;16.89;31.36;19.96;0.03;1.21;17.43;1.29;1,165.42;693.39;13.51;0.00;294.88;6.50;84.89;33.96;38.29;0.00;60.60;35.72;24.88;1,294.24
Jun20;87.74;75.87;11.87;27.55;0.28;1.70;24.66;0.91;1,895.87;1,007.95;26.74;25.10;631.46;6.97;80.73;78.61;36.65;1.67;63.31;52.75;10.55;2,074.46
Jul20;298.30;251.36;46.94;63.35;0.03;2.44;59.42;1.45;2,153.47;1,145.75;31.78;95.04;626.97;6.50;110.63;101.27;33.41;2.13;129.98;96.67;33.31;2,645.10
Ago20;316.39;260.95;55.44;101.72;0.21;9.05;90.19;2.26;1,950.12;728.95;25.53;109.61;701.36;8.32;183.50;161.36;31.24;0.25;91.94;50.49;41.45;2,460.16
Sep20;212.50;176.67;35.83;129.26;0.19;6.62;117.56;4.89;2,650.71;1,466.31;49.07;109.70;693.78;11.94;128.16;154.26;37.38;0.11;91.18;36.98;54.19;3,083.64
Oct20;88.85;30.68;58.16;117.00;0.21;2.53;112.48;1.78;3,001.86;1,566.67;35.91;139.73;872.51;11.31;124.46;190.72;60.40;0.16;53.78;12.68;41.11;3,261.49
Nov20;23.22;9.29;13.92;115.11;0.00;19.25;94.41;1.44;2,770.83;1,421.31;39.46;145.60;808.84;11.58;133.93;161.40;48.41;0.31;68.14;37.27;30.87;2,977.30
Dic20;122.68;99.39;23.29;86.17;0.02;4.86;76.63;4.66;3,147.75;1,576.02;45.77;184.22;883.35;9.25;143.21;235.78;69.70;0.45;205.42;44.08;161.34;3,562.02
Ene21;198.93;172.85;26.08;38.90;0.02;5.89;31.47;1.52;2,755.85;1,322.60;62.73;260.96;748.87;9.54;140.93;164.30;45.84;0.09;242.12;62.87;179.25;3,235.79
Feb21;328.87;228.15;100.72;17.15;0.25;1.47;13.37;2.06;2,821.92;1,505.87;52.83;187.31;691.99;6.44;132.08;200.22;45.09;0.08;104.33;43.56;60.76;3,272.27
Mar21;242.75;185.71;57.03;13.41;0.40;1.54;9.01;2.46;3,085.87;1,577.11;51.48;202.39;773.19;11.00;162.13;224.11;84.34;0.12;137.51;71.30;66.21;3,479.53
Abr21;213.77;174.57;39.20;13.03;0.05;1.93;8.30;2.75;3,047.89;1,566.77;57.79;170.05;829.24;7.31;168.42;195.38;52.75;0.19;134.87;80.44;54.43;3,409.56
May21;133.61;100.18;33.43;15.98;0.40;1.74;11.21;2.63;3,467.53;1,810.77;32.44;241.61;829.39;12.14;252.62;224.68;63.69;0.18;91.25;91.25;129.72;3,708.37
Jun21;205.69;181.95;23.74;32.64;0.11;1.59;28.85;2.09;3,537.47;1,879.24;50.44;238.30;922.75;10.98;125.72;220.08;89.83;0.12;149.75;75.00;74.75;3,925.54
Jul21;278.97;195.33;83.63;60.09;0.02;2.19;55.46;2.41;3,352.77;1,731.16;60.05;124.54;907.48;11.51;216.21;199.79;101.86;0.16;89.45;89.45;21.36;3,781.27
Ago21;314.48;246.57;67.91;79.71;0.00;4.41;68.83;6.47;3,426.60;1,775.29;102.78;231.59;872.29;9.46;114.88;199.11;120.49;0.71;69.70;69.70;22.64;3,890.49
